ID ÚNICO - RESPONDENTE,MÊS PESQUISA
ROELT3350,SIM - 07/2024
MGANA8010,SIM - 07/2024
MGMAT3189,SIM - 07/2024
RJCLA4262,SIM - 07/2024
PBAMA9193,SIM - 07/2024
MGCLA0021,SIM - 07/2024
MGSHI1942,SIM - 07/2024
MGMEL0769,SIM - 07/2024
RJELI8427,SIM - 07/2024
ROSIL4073,SIM - 07/2024
MGLUC0000,SIM - 07/2024
RJPED5052,SIM - 07/2024
MGDAN5034,SIM - 07/2024
ROJOS5567,SIM - 07/2024
RJTAI4511,SIM - 07/2024
RJCIN4225,SIM - 07/2024
MGLUC7922,SIM - 07/2024
MGMAR6667,SIM - 07/2024
CECAI1480,SIM - 07/2024
GOMAR7571,SIM - 07/2024
RJEDU6465,SIM - 07/2024
CEMAR7736,SIM - 07/2024
RJDAV4251,SIM - 07/2024
MGLUI1250,SIM - 07/2024
RJGAB0708,SIM - 07/2024
AMMAT2365,SIM - 07/2024
MGDIE1128,SIM - 07/2024
MGDEB8482,SIM - 07/2024
RJANA9637,SIM - 07/2024
MGROS2674,SIM - 07/2024
RJMAR4183,SIM - 07/2024
MGCRI6091,SIM - 07/2024
RJCAR6861,SIM - 07/2024
RJTHI6553,SIM - 07/2024
RJEDU3471,SIM - 07/2024
MGNAT0160,SIM - 07/2024
CEPRE9199,SIM - 07/2024
RJTHA4203,SIM - 07/2024
RJJOA1020,SIM - 07/2024
CEAMA0287,SIM - 07/2024
RJJES8150,SIM - 07/2024
MGRON4985,SIM - 07/2024
CEGER6192,SIM - 07/2024
MALUA2434,SIM - 07/2024
PAELI6768,SIM - 07/2024
RJJOS3655,SIM - 07/2024
MGMIC2828,SIM - 07/2024
MGMAR0661,SIM - 07/2024
MGPAM8928,SIM - 07/2024
MGJUL8929,SIM - 07/2024
MGSOF3305,SIM - 07/2024
MGGAB1800,SIM - 07/2024
CEMAR0068,SIM - 07/2024
RJCLA3388,SIM - 07/2024
MGNIL8031,SIM - 07/2024
CEMIR9764,SIM - 07/2024
RJJOI8806,SIM - 07/2024
MGDEG6844,SIM - 07/2024
RSICA1303,SIM - 07/2024
RSLUC4177,SIM - 07/2024
RJADR5774,SIM - 07/2024
PRVIT6497,SIM - 07/2024
PRFER2684,SIM - 07/2024
RSCAR9602,SIM - 07/2024
RJPIT4752,SIM - 07/2024
PRFUL8282,SIM - 07/2024
RJIVA8908,SIM - 07/2024
RJDAN4554,SIM - 07/2024
PRERI1701,SIM - 07/2024
RJCAR7225,SIM - 07/2024
